Year,Rain Fall,,,
1981.9828982898289, 16.707373271889402,,,
1982.957695769577, 17.30128231717181,,,
1983.983798379838, 16.748909107500612,,,
1984.975697569757, 16.709187969488195,,,
1985.950495049505, 17.101484111544796,,,
1986.976597659766, 17.41316620141277,,,
1987.985598559856, 17.822764188861285,,,
1988.994599459946, 16.723145586448048,,,
1989.9864986498649, 16.87927698299784,,,
1990.995499549955, 17.288874970446358,,,
1992.004500450045, 16.171975262042334,,,
1992.996399639964, 16.397231082555262,,,
1993.9711971197119, 16.78376685594827,,,
1995.014401440144, 16.87656530630022,,,
1995.989198919892, 16.387525042826866,,,
1997.015301530153, 16.618561971404517,,,
1997.9900990099009, 17.379521707931165,,,
"1,998.98199819982", 16.855929602176808,,,
2000.008100810081, 16.994800632136947,,,
2001, 16.90323617615218,,,
